MK,+5
โรงเลื่อยจักร,+5
อินเด็กซ์-มหาชัย,+5
UOT.(ยูโอที),+5
สถาพร-มหาชัย,+5
ทรัพย์ลีลา-มหาชัย,+5
ปณชัย-ชัยรุ่งเรือง,+5
ปิยะศิลป์-มหาชัย,+5
รัชดา,+5
รวมเจริญ-พรประแดง,+15
SPS.(ส.ประภาศิลป์),+20
AN-เฟอร์ บางน้ำเปรี้ยว,+15
สันติ,+5
บางกอกคาร์บีเน็ต,+5
เปรมประภา,+5
"บ.ควอดิตี้ คลอง 7,8",-5
บ.สักทอง (ปากเกร็ด-นนทบุรี),-7
บ.เหลืองถาวร,-10
บ.ย่าพงษ์เส็ง,-10
บ.PTK,-15
บ.SB.-บางบัวทอง,-15
บ.บัวทองศิริทรัพย์,-15
บ.Woodland,-15
บ.แม่ใหญ่,-15
"บ.สุพรรณ คลอง 12,14",-15
บ.ไทยเจริญ-เฟอร์นิเจอร์,-20
บ.ธนพล,-20
บ.สยามวู๊ด,-20
บ.SP-คามิเน็ต,-20
บ.SB.-ไทรน้อย,-20
บ.สุขสวัสดิ์ ไม้อัดไทย,-20
บ.เมโทรพูนทรัพย์,-20
บ.PSP.-นนทบุรี,-20
บ.ฟอร์จูน-นนทบุรี,-20
บ.ยิ่งเจริญ-นพวงศ์,-20
บ.นีสเทรินด์-โคราช,-38
